AÑO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2026;03;03;Alicante/Alacant;017;Alqueria d'Asnar, l';I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;25-44;1
2026;03;46;Valencia/València;032;Almàssera;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;2
2026;03;46;Valencia/València;090;Castelló de Rugat;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;25-44;2
2026;03;12;Castellón/Castelló;050;Coves de Vinromà, les;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;<25  ;3
2026;03;03;Alicante/Alacant;006;Alcalalí;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;M;Mujer;25-44;1
2026;03;46;Valencia/València;168;Miramar;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;>44  ;2
2026;03;03;Alicante/Alacant;065;Elx/Elche;C ;CONSTRUCCIÓN;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;1
2026;03;46;Valencia/València;213;Requena;C ;CONSTRUCCIÓN;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;2
2026;03;46;Valencia/València;015;Alcàsser;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;2
2026;03;12;Castellón/Castelló;009;Almassora;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;H;Hombre;>44  ;6
2026;03;03;Alicante/Alacant;014;Alacant/Alicante;I ;INDUSTRIA;3;Técnicos, profesionales de apoyo;M;Mujer;25-44;4
2026;03;46;Valencia/València;207;Rafelbunyol;C ;CONSTRUCCIÓN;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;1
2026;03;46;Valencia/València;220;Sagunt/Sagunto;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;25-44;1
2026;03;03;Alicante/Alacant;095;Ondara;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;M;Mujer;<25  ;1
2026;03;46;Valencia/València;022;Alfafar;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;13
2026;03;46;Valencia/València;019;Alcúdia, l';I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;6
2026;03;46;Valencia/València;163;Massalfassar;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;1
2026;03;46;Valencia/València;017;Alzira;I ;INDUSTRIA;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;1
2026;03;03;Alicante/Alacant;048;Callosa d'en Sarrià;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;1
2026;03;46;Valencia/València;135;Godella;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;1
2026;03;03;Alicante/Alacant;076;Guardamar del Segura;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;3
2026;03;12;Castellón/Castelló;094;Pobla Tornesa, la;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;1
2026;03;12;Castellón/Castelló;138;Vinaròs;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;1
2026;03;12;Castellón/Castelló;078;Montán;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;25-44;1
2026;03;12;Castellón/Castelló;129;Vilafranca/Villafranca del Cid;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;2
2026;03;46;Valencia/València;035;Almussafes;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;>44  ;3
2026;03;46;Valencia/València;205;Puçol;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;4
2026;03;46;Valencia/València;065;Beniparrell;I ;INDUSTRIA;3;Técnicos, profesionales de apoyo;H;Hombre;25-44;2
2026;03;03;Alicante/Alacant;116;Salinas;I ;INDUSTRIA;9;Ocupaciones elementales;M;Mujer;25-44;2
2026;03;46;Valencia/València;202;Pobla de Vallbona, la;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;1
2026;03;46;Valencia/València;029;Algemesí;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;5
2026;03;12;Castellón/Castelló;098;Salzadella, la;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;1
